id,station_name,lat,lng
42701,Štefan,45.91270555,14.98021388
42700,Trebnje,45.90696666,15.00857222
42602,Ponikve na Dolenjskem,45.89769444,15.04266388
42601,Mirna Peč,45.86661111,15.09140555
42603,Hudo,45.8338,15.13620277
42600,Novo mesto,45.81097222,15.15589722
42512,Novo mesto Center,45.80446388,15.16213055
42511,Novo mesto Kandija,45.79977777,15.16079166
42514,Novo mesto Šmihel,45.79658333,15.16105555
42510,Birčna vas,45.75782777,15.14759444
42509,Uršna sela,45.71448055,15.12766944
42508,Rožni Dol,45.68185,15.14852222
42507,Semič,45.64316944,15.16172222
42506,Otovec,45.59886666,15.16174166
42505,Črnomelj,45.57983611,15.19115
42504,Gradac,45.61435277,15.24145833
42503,Dobravice,45.63229722,15.26974722
42502,Metlika,45.64255833,15.32285833
43911,Celje Lava,46.23656388,15.25959444
43901,Petrovče,46.24595277,15.18968611
43902,Žalec,46.24969166,15.16627222
43903,Šempeter v Savinjski dolini,46.26046388,15.11215833
43904,Polzela,46.28269722,15.06604444
43905,Šmartno ob Paki,46.32798611,15.03771388
43906,Paška vas,46.34150833,15.01978333
43912,Florjan,46.38116111,15.03006666
43907,Šoštanj,46.37669444,15.04955833
43909,Velenje Pesje,46.36805277,15.08127222
43910,Velenje,46.36337222,15.10413333
42400,Jesenice,46.43639722,14.05484166
42315,Slovenski Javornik,46.42714166,14.08813888
42314,Žirovnica,46.40188055,14.135475
42313,Lesce-Bled,46.36043333,14.15809166
42312,Radovljica,46.34055833,14.173825
42311,Globoko,46.32321388,14.20844444
42310,Otoče,46.3111,14.23265833
42309,Podnart,46.29386944,14.25827222
42307,Kranj,46.23900277,14.34844166
42306,Škofja Loka,46.17423888,14.33554444
42305,Reteče,46.15663333,14.37120555
42304,Medvode,46.13806111,14.41228888
42303,Medno,46.12214444,14.43905277
42706,Šentvid pri Stični,45.94083055,14.84989166
42708,Polževo,45.94071388,14.77905555
44719,Kočna,46.42385277,14.07866111
44718,Vintgar,46.41022777,14.09871111
44717,Podhom,46.38756111,14.09418333
44716,Bled Jezero,46.36818611,14.08256944
44715,Bohinjska Bela,46.33840555,14.06025277
44713,Nomenj,46.28918888,14.00254722
44712,Bohinjska Bistrica,46.27435277,13.95885
44711,Podbrdo,46.20928055,13.96676944
44710,Hudajužna,46.17980833,13.91960833
44709,Grahovo,46.15156944,13.85696666
44708,Podmelec,46.15949722,13.81390555
44707,Most na Soči,46.146575,13.759525
44706,Avče,46.10811944,13.68433611
44705,Kanal,46.08376944,13.63181111
44704,Anhovo,46.06311388,13.62590277
44703,Plave,46.04616388,13.58996944
44701,Solkan,45.9726,13.64631666
44700,Nova Gorica,45.95512222,13.63525833
43771,Puconci,46.70333055,16.15368055
43774,Mačkovci,46.78331388,16.16471666
43775,Gornji Petrovci,46.80072777,16.21832777
43776,Šalovci,46.82114444,16.28208888
43777,Hodoš,46.82034722,16.32940277
44501,Kreplje,45.74207777,13.82742777
44800,Dutovlje,45.76478888,13.82634722
44502,Kopriva,45.78485,13.83182777
44503,Štanjel,45.81785833,13.84794722
44504,Branik,45.85601944,13.78427777
44505,Steske,45.87610555,13.757575
44506,Dornberk,45.88587777,13.73386111
44600,Prvačina,45.88769166,13.72275555
44601,Okroglica,45.89923333,13.69031944
44602,Volčja Draga,45.90585555,13.67576944
44603,Šempeter pri Gorici,45.92821944,13.64681666
44201,Rodik,45.627075,13.97533333
44202,Hrpelje-Kozina,45.60376666,13.93485555
44352,Koper,45.539325,13.73835
43854,Imeno,46.12697777,15.60086111
43853,Podčetrtek,46.15036666,15.59956666
43856,Atomske Toplice hotel,46.15815,15.60853888
43855,Podčetrtek Toplice,46.16587222,15.60478888
43852,Sodna vas,46.175925,15.60185277
43851,Pristava,46.19875,15.58181944
42908,Gomila,45.93474166,15.04493611
42907,Mirna,45.94938333,15.06241388
42906,Šentrupert,45.95957222,15.08767222
42905,Mokronog,45.95785277,15.12159166
42904,Pijavice,45.96829444,15.16329444
42903,Tržišče,45.96668055,15.19080277
42902,Jelovec,45.98932222,15.23979722
42901,Boštanj,46.00739444,15.289875
42909,Trebnje Kamna Gora,45.90611944,15.02447222
43360,Šikole,46.40092222,15.69696388
43351,Cirkovce,46.40089722,15.724375
43352,Strnišče,46.4007,15.77048611
43353,Kidričevo,46.40088611,15.80045833
43354,Hajdina,46.40311388,15.85518611
43355,Ptuj,46.42238888,15.87872222
43356,Moškanjci,46.42316944,15.98362222
43359,Zamušani,46.42138055,16.01635833
43357,Osluševci,46.41938888,16.04798055
43358,Velika Nedelja,46.41519722,16.10500555
43413,Maribor Tabor,46.55178055,15.64546666
43401,Maribor Studenci,46.55441388,15.63528611
43420,Maribor Sokolska,46.556425,15.624875
43414,Marles,46.55886666,15.59720555
43402,Limbuš,46.55891388,15.58295
43403,Bistrica ob Dravi,46.55758888,15.55424444
43415,Ruše tovarna,46.54496666,15.51478333
43404,Ruše,46.54079444,15.50394722
43503,Holmec,46.56637777,14.84136944
43502,Prevalje,46.54989166,14.92181111
43501,Ravne na Koroškem,46.547,14.96336944
43506,Dobrije,46.55153333,14.99079722
43505,Podklanc,46.57411944,15.00577222
43500,Dravograd,46.58710277,15.02679722
43417,Sveti Danijel,46.60259166,15.06366944
43412,Trbonje,46.59381666,15.12625555
43416,Trbonjsko jezero,46.594925,15.12464444
43411,Vuzenica,46.59377777,15.15837777
43418,Sveti Vid,46.61168611,15.188275
43410,Vuhred,46.59639444,15.23602777
43409,Vuhred elektrarna,46.58647222,15.27984444
43408,Podvelka,46.59000277,15.32941666
43407,Ožbalt,46.57491388,15.40646666
43406,Ruta,46.56310833,15.43163055
43405,Fala,46.54810833,15.45150277
43653,Frankovci,46.39489722,16.19528611
43651,Obrež,46.39089722,16.22572222
43652,Središče,46.38922777,16.27715833
42501,Rosalnice,45.648875,15.33626944
44357,Hrastovlje,45.50113055,13.90942777
44356,Črnotiče,45.55213888,13.89161388
44300,Prešnica,45.57048333,13.94099722
03317,Trst/Trieste Centrale (I),45.6577528,13.7719334
