42210,42222
43352,43353
44603,44700
44504,44505
42314,42313
42804,42803
42853,42852
42004,42003
43200,43201
44100,44101
44011,42300
43352,43351
44506,44505
42300,42357
42206,42207
43302,43301
43776,43775
43506,43501
43406,43405
44603,44602
43802,43807
44503,44502
42855,42856
43417,43412
44709,44710
42860,42854
44712,44711
42907,42908
44002,44001
42300,44011
43304,43303
42504,42503
42856,42855
42300,42316
42904,42903
43652,43651
44713,44715
42212,42222
44901,44902
42708,42707
42901,42100
44708,44707
44200,44201
43101,43100
42317,42302
43701,43702
43357,43358
43416,43411
42857,42859
43351,43360
43409,43410
43413,43400
43909,43907
42351,42365
44007,44006
42352,42359
42356,42355
42901,42902
43202,43205
44008,44007
44707,44708
42363,42362
43201,43200
42207,42206
42706,42707
44502,44503
42300,42805
43500,43505
43600,43601
42311,42312
43501,43502
44700,44603
42700,42701
42351,42366
42207,42208
42400,42315
43415,43404
43409,43408
43302,43303
44502,44800
44357,44356
42360,42353
44704,44703
43002,43001
42366,42358
43702,43701
42006,42005
44004,44003
43600,43358
42800,42801
42601,42602
44601,44600
43805,43806
42702,42703
44102,44101
42603,42601
43102,43200
42501,42502
43402,43414
43910,43909
42903,42904
44709,44708
42802,42801
43851,43852
44500,3466
44600,44506
42304,42305
42354,42355
42305,42304
43856,43853
42365,42351
43401,43413
42711,42710
42002,42003
42307,42309
42508,42507
43800,43851
43801,43800
43252,43251
42854,42855
42100,42901
43404,43415
43201,43205
43651,43653
42303,42304
42852,42853
42316,42300
44706,44707
43771,43774
43351,43352
42353,42360
42601,42603
42701,42702
42362,42363
43802,43801
43901,43911
43853,43856
42851,42859
42602,42700
43902,43901
43411,43418
42400,44719
44705,44706
43358,43357
43601,43602
43605,43604
43907,43912
43502,43501
42707,42706
43653,43651
43451,43452
42209,42208
43417,43500
44007,44008
44002,44003
43912,43907
43852,43851
44800,44501
42903,42902
42801,42802
43359,43357
43807,43803
42705,42704
42857,42800
42700,42909
44101,44100
42311,42310
43300,43204
42302,42303
42360,42352
43101,43102
44701,44700
44202,44300
43700,43605
42908,42907
43203,43204
42855,42854
42801,42800
42102,42101
43855,43856
43906,43912
43406,43407
43602,43603
44012,44011
42906,42905
42005,42004
43420,43401
43503,43502
42208,42209
42509,42508
44251,44500
42100,42101
42512,42511
43354,43353
43408,43407
44501,44800
43902,43903
43911,43901
42905,42906
44504,44503
42709,42708
42315,42314
42507,42506
42503,42502
44006,44007
43356,43355
42511,42514
42800,42711
43418,43411
44716,44717
42909,42908
44009,44010
42306,42305
43407,43406
43405,43406
43702,43700
43301,43300
42359,42358
42358,42366
43407,43408
42705,42706
43904,43905
43602,43601
43100,43101
44718,44717
44008,44009
43251,43252
43204,43203
42709,42710
43500,43417
42362,42361
3317,3466
44356,44357
43400,43413
44703,44704
42002,42001
42802,42803
44717,44716
42004,42005
43412,43416
43356,43359
43200,43102
43410,43409
42514,42510
42352,42360
44003,44004
42505,42506
42707,42708
42704,42703
42514,42511
42355,42356
43300,43360
43909,43910
43771,43704
44712,44713
43413,43401
44251,44200
43854,43853
44004,44006
